horizon,target,lane,item,deliverable,dependency,effort,owner,status,exit_criteria_link
v1.0,2026-06-23,Clinical Safety,CDS Hooks expansion,Add order-select and medication-prescribe hooks with RxNorm bindings; integration tests against existing prescriptions module,â€”,M,Backend,completed,#h1.exit
v1.0,2026-06-23,Clinical Safety,Drug-drug interaction check,Extend hms-medication-allergy-check to fire on coexisting prescriptions; warn-card on critical interactions,CDS Hooks expansion,M,Mixed (Backend + UI),completed,#h1.exit
v1.0,2026-06-23,Pharmacy,T-68 offline dispense queue,IndexedDB queue in pharmacy UI plus replay endpoint; covers hospitals with patchy connectivity,â€”,M,Mixed (Frontend + Backend),completed,#h1.exit
v1.0,2026-06-23,Pharmacy,T-71 Playwright E2E,"One end-to-end test per dispense path: Tier 1 in-house, Tier 2 partner, refill, AMU export",â€”,S,Frontend,completed,#h1.exit
v1.0,2026-06-23,Pharmacy,T-72 perf baseline,k6 script at 50 concurrent dispenses; p95 < 800ms; recorded in docs/observability/performance-baseline.md,â€”,S,Platform,completed,#h1.exit
v1.0,2026-06-23,Security,Idle session timeout (server-side),Track last-activity in Redis; reject requests after 15 min idle; JWT silent refresh respects window,â€”,M,Backend,completed,#h1.exit
v1.0,2026-06-23,Security,Keycloak Phase C cutover,"Flip OIDC_REQUIRED=true in UAT; soak 7 days; promote to prod; legacy /auth/login returns 410 Gone. Foundation pass shipped on chore/v1.0-keycloak-cutover-and-cost-obs: docs/runbooks/keycloak-cutover-sequence.md chains rows 18 -> 19 -> 8(uat, 7-day soak) -> 8(prod, 48 h smoke) with hard go/no-go gates between each step and a rollback decision tree. scripts/keycloak/preflight.sh wraps the precondition checklists from keycloak-migration-runbook.md + keycloak-cutover-runbook.md into one harness (R1-R4 + P1-P4 via env-sync-verify.sh --public-only; OIDC discovery + issuer match; optional A1-A3 when admin token is set; optional backend health when HMS_BACKEND_BASE_URL is set). Row stays started until the prod cutover smoke is green for 48 h and the postmortem doc lands.",Idle session timeout,S,Backend,started,#h1.exit
v1.0,2026-06-23,Operations,DR runbook,"docs/runbooks/disaster-recovery.md covering Railway snapshot+restore, Postgres PITR, observability stack rebuild",â€”,S,Platform,completed,#h1.exit
v1.0,2026-06-23,Accessibility,axe-core/playwright smoke,"Fail PR on any new a11y violation across login, doctor dashboard, patient tracker, AVS",â€”,S,Frontend,completed,#h1.exit
v1.0,2026-06-23,Accessibility,Keyboard navigation pass,All clinical-flow screens reachable + actionable via keyboard; documented in docs/ui/accessibility.md,axe-core/playwright smoke,M,Frontend,completed,#h1.exit
v1.0,2026-06-23,i18n,FR completeness gate,Tooling extracts all *.json keys; CI fails when any locale is < 99% of EN; enforced in frontend-ci.yml,â€”,S,Frontend,completed,#h1.exit
v1.0,2026-06-23,Releases,v1.0.0-rc1 cut,"Tag, signed release notes from CHANGELOG.md, pre-pilot soak (one overnight CI run + one DR rehearsal, ~24-36h); 7-day feat/* freeze + fix/*-only policy kicks in for v1.1.0 onward (first pilot deploy)",All v1.0 items,S,Platform,completed,#h1.exit
v1.0,2026-06-23,Security,Keycloak env-sync audit + remediation runbooks,"Audit doc + 4 runbooks under docs/runbooks/ (env-sync-audit-2026-05-12.md, realm-sync.md, railway-env-matrix.md, env-sync-remediation.md). Documents 6 drift surfaces, partial-import discipline, per-env Railway variable contract, snapshot-redaction policy. Per-env OIDC_REQUIRED intent table added to docs/keycloak-implementation-gaps.md.",â€”,M,Backend,completed,#h1.exit
v1.0,2026-06-23,Security,Keycloak env-sync verify script,"scripts/keycloak/env-sync-verify.sh with --public-only (default) and --full modes. Repo-wide checks R1-R4 (branch divergence, redirect-URI coverage, frontend env-file consistency) + per-env public P1-P4 (OIDC discovery, issuer match, HTTPS, frontend agreement) + authenticated A1-A3 (live realm clients diff, role count, dev.* policy compliance).",Keycloak env-sync audit + remediation runbooks,S,Platform,completed,#h1.exit
v1.0,2026-06-23,Security,dev.* user policy + machine enforcement,keycloak/README.md per-env policy table: dev.admin forbidden on all hosted environments (super-admin via repo-published password); dev.doctor + dev.patient allowed on hosted dev only as test fixtures. Machine-enforced via env-sync-verify.sh A3 check.,Keycloak env-sync audit + remediation runbooks,S,Platform,completed,#h1.exit
v1.0,2026-06-23,Security,KC-4 user migration to hosted dev,"21 HMS DB users migrated into hms-keycloak-dev hms realm via scripts/keycloak-migration. Gmail SMTP integration live (App Password + auth + StartTLS port 587). End-to-end verified: real user received and clicked setup email. 2 example.com test users (nurse_a, nurse_c) + dev.admin cleaned up via Admin REST. Realm clients partial-imported to align with realm-export.json (redirect URIs, web origins).",Keycloak env-sync audit + remediation runbooks,M,Backend,completed,#h1.exit
v1.0,2026-06-23,Security,KC-4 user migration to uat,"Apply hosted-dev playbook to uat: dedicated migration-admin in master realm, hms_read read-only role on hms-Postgres-uat with SELECT grants on security.users + security.user_role_hospital_assignment + security.roles, SMTP configured on uat hms realm, dry-run + live run + execute-actions-email re-trigger, partial-import clients from realm-export.json. Soak ΓëÑ 5 business days before promoting to prod. Foundation pass shipped on chore/v1.0-keycloak-cutover-and-cost-obs: the uat migration is now step 1 of the conductor playbook docs/runbooks/keycloak-cutover-sequence.md (existing keycloak-migration-runbook.md remains the per-step procedure). scripts/keycloak/preflight.sh verifies every precondition (realm-export drift, redirect-URI coverage, frontend env-file agreement, OIDC discovery match) before the live run kicks off ΓÇö exits non-zero on the first failure. Row stays started until the live run is executed against hms-keycloak-uat and the 5-business-day soak completes clean.",KC-4 user migration to hosted dev,M,Backend,started,#h1.exit
v1.0,2026-06-23,Security,KC-4 user migration to prod,"Apply same playbook to hms-keycloak-prod during announced maintenance window per docs/runbooks/keycloak-cutover-runbook.md. Prereq: uat soak clean. Pairs with the existing 'Keycloak Phase C cutover' row (which covers the OIDC_REQUIRED=true flip that gates legacy auth). Foundation pass shipped on chore/v1.0-keycloak-cutover-and-cost-obs: prod migration is step 2 of docs/runbooks/keycloak-cutover-sequence.md with prod-specific gates ΓÇö pre-run pg_dump of the Keycloak DB (rollback dependency), never on a Friday, on-call rotation with rollback authority, 24-hour observation against prod migration metrics before stepping to row-8 flip. Row stays started until the live run executes against hms-keycloak-prod and 24-hour observation closes clean.",KC-4 user migration to uat,M,Backend,started,#h1.exit
