ref,family,criterion,status,owner,priority,effort,evidence_or_action,target_close
164.308(a)(1)(ii)(A),Administrative,Risk Analysis — HIPAA-specific risk register,partial,Compliance,P0,M,Overlaps SOC 2 CC3; author docs/compliance/hipaa-risk-register.md,2026-08-15
164.308(a)(1)(ii)(B),Administrative,Risk Management — remediation tracker indexed against this gap doc,partial,Compliance,P0,S,Mirror SOC 2 tracker,2026-08-15
164.308(a)(1)(ii)(C),Administrative,Sanction Policy,gap,HR,P1,S,Draft doc-only policy for workforce sanctions,2026-10-31
164.308(a)(1)(ii)(D),Administrative,Information System Activity Review,present,Backend,—,—,AuditEventLog + 80+ event types + Splunk HEC export,—
164.308(a)(2),Administrative,Assigned Security Responsibility (named Officer),gap,Compliance,P0,S,Designate Security Officer + Privacy Officer in BAA + policy,2026-08-31
164.308(a)(3)(ii)(A),Administrative,Authorization + Supervision,present,Backend,—,—,Role + UserRoleHospitalAssignment + super-admin confirmation flows,—
164.308(a)(3)(ii)(B),Administrative,Workforce Clearance Procedure,gap,HR,P1,S,Document expectation in BAA — customer-side responsibility,2026-12-31
164.308(a)(3)(ii)(C),Administrative,Termination Procedures,partial,Backend,P1,S,Add to keycloak runbook or split into its own,2026-12-31
164.308(a)(4)(ii)(B),Administrative,Access Authorization,present,Backend,—,—,PermissionCatalog + @PreAuthorize / @PostAuthorize across controllers,—
164.308(a)(4)(ii)(C),Administrative,Access Establishment + Modification,partial,Compliance,P0,M,Define quarterly access-review cadence + log,2026-09-30
164.308(a)(5)(ii)(A-D),Administrative,Security Awareness + Training,gap,HR,P1,M,Onboarding module + annual refresher,2026-12-31
164.308(a)(6)(ii),Administrative,Security Incident Response + Reporting,partial,Compliance,P0,M,Author docs/runbooks/hipaa-incident-response.md with breach-notification timer,2026-09-30
164.308(a)(7)(ii)(A),Administrative,Data Backup Plan,present,Platform,—,—,Railway snapshots + PITR in disaster-recovery.md,—
164.308(a)(7)(ii)(B),Administrative,Disaster Recovery Plan,present,Platform,—,—,disaster-recovery.md,—
164.308(a)(7)(ii)(C),Administrative,Emergency Mode Operation Plan,partial,Platform,P1,S,Add emergency-mode section to DR runbook (read-only fallback),2026-12-31
164.308(a)(7)(ii)(D),Administrative,Testing + Revision (DR drills),partial,Platform,P1,S,Quarterly DR-drill schedule + per-drill log,2026-12-31
164.308(a)(7)(ii)(E),Administrative,Applications + Data Criticality Analysis,gap,Compliance,P2,M,Add criticality column to phi-inventory.md,—
164.308(a)(8),Administrative,Periodic Evaluation,partial,Compliance,P1,S,Annual HIPAA self-evaluation cadence pointing at hipaa-gap.md,2026-12-31
164.308(b),Administrative,Business Associate Contracts,gap,Compliance,P0,M,Publish + execute BAAs from hipaa-baa-template.md,2026-09-30
164.310(a)(2)(i),Physical,Contingency Operations,partial,Platform,P1,S,Reference Railway provider attestation,2026-12-31
164.310(a)(2)(ii),Physical,Facility Security Plan,gap,Platform,P0,S,Archive Railway SOC 2 Type II report; reference in this doc,2026-09-30
164.310(a)(2)(iii),Physical,Access Control + Validation Procedures,gap,Platform,P0,S,Inherit from Railway attestation,2026-09-30
164.310(a)(2)(iv),Physical,Maintenance Records,partial,Platform,—,—,Inherited from Railway; no HMS-side log needed,—
164.310(b),Physical,Workstation Use,N/A,Compliance,—,—,Customer responsibility — documented in BAA template,—
164.310(c),Physical,Workstation Security,N/A,Compliance,—,—,Customer responsibility — documented in BAA template,—
164.310(d)(2)(i),Physical,Disposal,partial,Backend,—,—,Soft-delete tombstones on key entities; media destruction inherited from Railway,—
164.310(d)(2)(iv),Physical,Data Backup + Storage,present,Platform,—,—,Railway snapshots + PITR,—
164.312(a)(2)(i),Technical,Unique User Identification,present,Backend,—,—,Users.id UUID + Keycloak unique username,—
164.312(a)(2)(ii),Technical,Emergency Access Procedure,present,Backend,—,—,Break-glass pattern with BREAK_GLASS_ACCESS audit event + super-admin recovery runbook,—
164.312(a)(2)(iii),Technical,Automatic Logoff,partial,Backend,P1,S,Add absolute session max-age check (engineering),2026-12-31
164.312(a)(2)(iv),Technical,Encryption + Decryption (at rest),partial,Backend,P0,M,"AES-256-GCM operational on 14 narrative columns (Patient/Prescription/Dispense) + UserMfaEnrollment.totp_secret; identifier columns (names/phone/email/city/state/zip/MRN aliases/insurance numbers) plaintext today. Extend @Convert(EncryptedStringConverter) coverage.",2026-09-30
